date,temperature,dew_point_temperature,sunrise,precip_prob,humidity,wind_speed,icon_clear,icon_cloudy,icon_fog,icon_partly-cloudy,icon_rain,icon_sleet,icon_snow
20150101,11.7,3.9,1,0,0.72,1.09,0,1,0,0,0,0,0
20150101,12.2,3.9,1,0.86,0.83,1.35,0,0,0,0,1,0,0
20150101,12.2,3.9,1,0.9,0.86,1.5,0,0,0,0,1,0,0
20150101,11.7,3.3,0,0.73,0.88,0.52,0,1,0,0,0,0,0
20150101,10.6,4.4,0,0.5,0.89,0.16,0,1,0,0,0,0,0
20150101,8.9,5.6,0,0.41,0.9,0.05,0,1,0,0,0,0,0
20150101,8.3,6.1,0,0.48,0.91,1.68,0,1,0,0,0,0,0
20150101,7.8,6.1,0,0.61,0.91,1.66,0,1,0,0,0,0,0
20150101,8.3,6.7,0,0.53,0.91,1.34,0,1,0,0,0,0,0
20150101,8.3,6.7,0,0.19,0.89,1.7,0,1,0,0,0,0,0
20150101,8.3,6.7,0,0,0.88,1.36,0,1,0,0,0,0,0
20150101,7.2,6.1,0,0,0.87,1.76,0,1,0,0,0,0,0
20150101,7.075,5.975,0,0,0.85,3.09,0,1,0,0,0,0,0
20150101,6.4,3.9,0,0.91,0.88,2.69,0,0,0,0,1,0,0
20150101,6.075,2.85,0,1,0.91,4.38,0,0,0,0,1,0,0
20150101,6.05,2.9,0,1,0.92,4.27,0,0,0,0,1,0,0
20150101,6.1,2.8,1,1,0.92,5.83,0,0,0,0,1,0,0
20150101,5.6,3.3,1,0.99,0.93,5.08,0,0,0,0,1,0,0
20150101,5.12,4.1,1,1,0.93,5.43,0,0,0,0,1,0,0
20150101,5,4.4,1,1,0.93,4.43,0,0,0,0,1,0,0
20150101,4.8,4.066666667,1,1,0.93,3.47,0,0,0,0,1,0,0
20150101,4.85,4.05,1,1,0.93,4.43,0,0,0,0,1,0,0
20150101,5,4.075,1,0.98,0.93,3.61,0,0,0,0,1,0,0
20150101,5,3.9,1,0.45,0.94,2.9,0,1,0,0,0,0,0
20150101,5,3.9,1,0.25,0.94,2.46,0,1,0,0,0,0,0
20150101,4.6,3.9,1,0,0.93,1.73,0,1,0,0,0,0,0
20150101,5,3.9,1,0,0.93,0.77,0,1,0,0,0,0,0
20150101,5,4.15,0,0,0.94,0.04,0,1,0,0,0,0,0
20150101,5.6,5,0,0,0.94,0.03,0,1,0,0,0,0,0
20150101,5.6,4.4,0,0,0.93,0.18,0,1,0,0,0,0,0
20150101,6.1,4.4,0,0,0.94,0.45,0,1,0,0,0,0,0
20150101,6.1,5,0,0,0.94,0.15,0,1,0,0,0,0,0
20150101,6.1,5,0,0,0.94,0.2,0,1,0,0,0,0,0
20150101,6.3,5,0,0,0.94,0.79,0,1,0,0,0,0,0
20150102,6.1,5,0,0,0.94,0.84,0,1,0,0,0,0,0
20150102,6.1,5,0,0,0.94,0.95,0,1,0,0,0,0,0
20150102,6.1,5,0,0,0.95,0.72,0,0,0,1,0,0,0
20150102,6.1,5,0,0,0.94,0.51,0,0,0,1,0,0,0
20150102,6.1,5,0,0,0.94,0.32,0,0,0,1,0,0,0
20150102,6.7,5.6,0,0,0.92,0.53,0,0,0,1,0,0,0
20150102,6.85,5.8,1,0,0.89,1.12,0,0,0,1,0,0,0
20150102,7.2,5,1,0,0.82,2.91,0,0,0,1,0,0,0
20150102,7.2,4.4,1,0,0.72,3.62,0,0,0,1,0,0,0
20150102,7.2,4.4,1,0,0.66,4.02,0,0,0,1,0,0,0
20150102,7.2,3.9,1,0,0.62,3.04,0,0,0,1,0,0,0
20150102,7.2,0,1,0,0.57,2.75,1,0,0,0,0,0,0
20150102,7.2,-0.6,1,0,0.53,2.94,0,0,0,1,0,0,0
20150102,7.2,-2.2,1,0,0.48,3.48,0,0,0,1,0,0,0
20150102,7.2,-2.2,1,0,0.45,3.52,0,0,0,1,0,0,0
20150102,8.3,-1.7,1,0,0.43,3.14,0,0,0,1,0,0,0
20150102,8.3,-2.8,1,0,0.44,2.42,0,0,0,1,0,0,0
20150102,9.4,-2.8,0,0,0.46,1.57,1,0,0,0,0,0,0
20150102,10.6,-2.8,0,0,0.52,0.57,1,0,0,0,0,0,0
20150102,10.6,-3.9,0,0,0.56,0.79,1,0,0,0,0,0,0
20150102,10.6,-3.9,0,0,0.61,0.65,1,0,0,0,0,0,0
20150102,11.1,-3.9,0,0,0.62,0.61,1,0,0,0,0,0,0
20150102,10.6,-5.6,0,0,0.63,0.75,1,0,0,0,0,0,0
20150102,10,-5.6,0,0,0.62,1.02,1,0,0,0,0,0,0
20150102,9.4,-5.6,0,0,0.59,1.59,1,0,0,0,0,0,0
20150102,8.9,-5,0,0,0.55,2.03,1,0,0,0,0,0,0
20150102,7.2,-5,0,0,0.54,1.64,1,0,0,0,0,0,0
20150102,7.2,-5.6,0,0,0.56,0.92,1,0,0,0,0,0,0
20150102,6.1,-6.1,0,0,0.58,0.93,1,0,0,0,0,0,0
20150102,5.6,-6.7,0,0,0.6,0.96,1,0,0,0,0,0,0
20150102,5,-6.7,1,0,0.62,0.64,1,0,0,0,0,0,0
20150102,4.4,-6.7,1,0,0.56,0.95,1,0,0,0,0,0,0
20150102,4.4,-7.2,1,0,0.47,0.83,1,0,0,0,0,0,0
20150102,4.4,-7.2,1,0,0.39,0.95,1,0,0,0,0,0,0
20150102,3.9,-7.2,1,0,0.37,1.63,1,0,0,0,0,0,0
20150102,4.4,-7.8,1,0,0.36,2.06,1,0,0,0,0,0,0
20150102,5.6,-7.2,1,0,0.35,2.6,1,0,0,0,0,0,0
20150102,7.2,-7.8,1,0,0.33,2.78,1,0,0,0,0,0,0
20150102,8.9,-6.7,1,0,0.33,2.88,1,0,0,0,0,0,0
20150102,10.6,-6.7,1,0,0.34,2.92,1,0,0,0,0,0,0
20150102,11.7,-6.1,1,0,0.38,3.29,1,0,0,0,0,0,0
